consumer_muni,consumer_industry,consumer_cell,flow,value
840,s01,r840_s01,Consumer social benefits received,14284759.36298872
840,s02,r840_s02,Consumer social benefits received,8787146.389309023
840,s03,r840_s03,Consumer social benefits received,18886331.646817584
840,s04,r840_s04,Consumer social benefits received,50430526.47755368
840,s05,r840_s05,Consumer social benefits received,11836093.07816862
840,s06,r840_s06,Consumer social benefits received,5293441.901562803
840,s07,r840_s07,Consumer social benefits received,231032.92751844192
840,s08,r840_s08,Consumer social benefits received,2472116.2865385646
840,s09,r840_s09,Consumer social benefits received,2631562.141155517
840,s10,r840_s10,Consumer social benefits received,5039893.493940962
840,s11,r840_s11,Consumer social benefits received,10444130.921337374
840,s12,r840_s12,Consumer social benefits received,38657938.85405219
840,s13,r840_s13,Consumer social benefits received,18903266.835189305
840,s14,r840_s14,Consumer social benefits received,19853775.60143925
840,s15,r840_s15,Consumer social benefits received,49176009.16990846
840,s16,r840_s16,Consumer social benefits received,20105292.71698388
840,s17,r840_s17,Consumer social benefits received,24923765.10684305
840,s18,r840_s18,Consumer social benefits received,23013055.73391836
840,s19,r840_s19,Consumer social benefits received,26998262.77682844
840,s20,r840_s20,Consumer social benefits received,4590528.022326102
840,s21,r840_s21,Consumer social benefits received,338950.6742391072
840,s22,r840_s22,Consumer social benefits received,287951012.16364574
840,s23,r840_s23,Consumer social benefits received,1005448099.3853844
840,s24,r840_s24,Consumer social benefits received,98796129.0720251
840,s25,r840_s25,Consumer social benefits received,16003683.962032575
840,s26,r840_s26,Consumer social benefits received,55281977.047496416
840,s27,r840_s27,Consumer social benefits received,25189548.71062896
840,s28,r840_s28,Consumer social benefits received,81781157.77985735
840,s01,r840_s01,Consumer social contributions paid,6462926.811726519
840,s02,r840_s02,Consumer social contributions paid,8963078.466281693
840,s03,r840_s03,Consumer social contributions paid,15063931.76760037
840,s04,r840_s04,Consumer social contributions paid,79252560.5859467
840,s05,r840_s05,Consumer social contributions paid,15730439.644987935
840,s06,r840_s06,Consumer social contributions paid,4592421.671585721
840,s07,r840_s07,Consumer social contributions paid,2003712.9309026657
840,s08,r840_s08,Consumer social contributions paid,10097717.21776648
840,s09,r840_s09,Consumer social contributions paid,13985015.52745803
840,s10,r840_s10,Consumer social contributions paid,11658745.20165362
840,s11,r840_s11,Consumer social contributions paid,8441429.517875165
840,s12,r840_s12,Consumer social contributions paid,81104873.22800583
840,s13,r840_s13,Consumer social contributions paid,55704441.6576901
840,s14,r840_s14,Consumer social contributions paid,21688960.99438611
840,s15,r840_s15,Consumer social contributions paid,159887604.6425574
840,s16,r840_s16,Consumer social contributions paid,64843237.44980136
840,s17,r840_s17,Consumer social contributions paid,38381809.21894045
840,s18,r840_s18,Consumer social contributions paid,15389026.063871184
840,s19,r840_s19,Consumer social contributions paid,30903425.917455077
840,s20,r840_s20,Consumer social contributions paid,12636030.319712829
840,s21,r840_s21,Consumer social contributions paid,1162697.2527881353
840,s22,r840_s22,Consumer social contributions paid,23459870.736231912
840,s23,r840_s23,Consumer social contributions paid,25684495.053490307
840,s24,r840_s24,Consumer social contributions paid,150381085.92740512
840,s25,r840_s25,Consumer social contributions paid,333151.59426201804
840,s26,r840_s26,Consumer social contributions paid,110789977.38387688
840,s27,r840_s27,Consumer social contributions paid,50906298.99449872
840,s28,r840_s28,Consumer social contributions paid,2995060.794154842
840,s01,r840_s01,Surplus of owner-occupied housing to consumers,5817389.0
840,s02,r840_s02,Surplus of owner-occupied housing to consumers,3331941.0
840,s03,r840_s03,Surplus of owner-occupied housing to consumers,4218522.0
840,s04,r840_s04,Surplus of owner-occupied housing to consumers,24419034.0
840,s05,r840_s05,Surplus of owner-occupied housing to consumers,6338430.5
840,s06,r840_s06,Surplus of owner-occupied housing to consumers,2413406.0
840,s07,r840_s07,Surplus of owner-occupied housing to consumers,360209.84
