prod_sector,value,var_name,prod_muni_name
12,32440020.348197464,Producer product taxes paid,Brøndby
13,8526250.843486693,Producer product taxes paid,Brøndby
14,7025961.25358242,Producer product taxes paid,Brøndby
15,11283638.997811297,Producer product taxes paid,Brøndby
16,62210790.53180203,Producer product taxes paid,Brøndby
17,45327405.34756888,Producer product taxes paid,Brøndby
18,7911294.968451197,Producer product taxes paid,Brøndby
19,262541.2468054797,Producer product taxes paid,Brøndby
20,7014724.161504106,Producer product taxes paid,Brøndby
21,928383.9747775845,Producer product taxes paid,Brøndby
24,63034506.003833376,Producer product taxes paid,Brøndby
26,30832850.346890878,Producer product taxes paid,Brøndby
